Timestamp	Timestamp	Lifetime_TPCCenter	Lifetime_TPCLow	Lifetime_TPCHigh	Qratio_TPCCenter	Qratio_TPCLow	Qratio_TPCHigh	SetVoltage_A	Ka_prm	Ka_tpc	Ka_prm/Ka_tpc	CorLifetime_TPCCenter	CorLifetime_TPCLow	CorLifetime_TPCHigh
2018-10-25	12:58:49	95.48258088	40.55031904	124.2740258	0.976301885	0.945091959	0.981741719	500	4.579519547	3.327620985	1.376214289	131.4044921	55.80592847	171.02769
2018-10-27	1:58:33	126.2957699	45.23755832	182.0982537	0.982031356	0.950638273	0.987503114	500	4.579519547	3.327620985	1.376214289	173.8100431	62.25657414	250.6062187
2018-10-27	1:59:09	97.94070923	40.99215539	128.4623334	0.976889736	0.94566741	0.98233171	500	4.579519547	3.327620985	1.376214289	134.7874035	56.41398997	176.7916988
2018-10-30	11:43:58	5.161081694	4.808885543	5.22654604	0.641654402	0.621138118	0.645230367	500	4.579519547	3.327620985	1.376214289	7.102754372	6.618056996	7.19284734
2018-10-30	17:42:19	5.155781926	4.80414771	5.221138592	0.641361812	0.620846482	0.64493764	500	4.579519547	3.327620985	1.376214289	7.095460755	6.611536723	7.185405533
2018-10-30	17:45:13	5.412834361	5.026800465	5.484870439	0.655033727	0.63409394	0.658683495	500	4.579519547	3.327620985	1.376214289	7.449219989	6.917954626	7.548357069
2018-10-31	1:53:39	5.954926005	5.491189618	6.042192836	0.680753112	0.659000046	0.684544603	500	4.579519547	3.327620985	1.376214289	8.195254255	7.557053614	8.315352115
2018-10-31	2:07:50	5.763458314	5.327386071	5.845285935	0.672111596	0.650603858	0.675860431	500	4.579519547	3.327620985	1.376214289	7.931753683	7.331624832	8.044366025
2018-10-31	10:45:53	6.158470512	5.66380721	6.251851786	0.689460705	0.667429394	0.693300693	500	4.579519547	3.327620985	1.376214289	8.475375114	7.79461241	8.603887758
2018-10-31	21:42:51	7.430230982	6.721653285	7.566646796	0.734768072	0.711279377	0.738862109	500	4.579519547	3.327620985	1.376214289	10.22559004	9.250435294	10.41332744
2018-10-31	21:45:19	6.954330315	6.330271662	7.07358977	0.719433464	0.696453795	0.723438716	500	4.579519547	3.327620985	1.376214289	9.570648747	8.711810312	9.734775313
2018-11-01	13:11:21	7.929870945	7.128086242	8.085409014	0.749175885	0.72523151	0.75334933	500	4.579519547	3.327620985	1.376214289	10.9132017	9.809774136	11.12725541
2018-11-01	23:00:52	9.598401974	8.447760654	9.827321813	0.787744578	0.762557201	0.79213471	500	4.579519547	3.327620985	1.376214289	13.20945794	11.62592892	13.5245007
2018-11-01	23:03:32	8.916453966	7.915161376	9.113624609	0.773500814	0.748773931	0.777810666	500	4.579519547	3.327620985	1.376214289	12.27095135	10.89295818	12.54230041
2018-11-02	11:47:38	9.759004723	8.572133714	9.995693354	0.790843583	0.765562295	0.795250067	500	4.579519547	3.327620985	1.376214289	13.43048174	11.7970929	13.75621602
2018-11-02	11:49:39	11.18752606	9.656687351	11.49928727	0.814898054	0.788879762	0.819432889	500	4.579519547	3.327620985	1.376214289	15.39643322	13.28967111	15.82548345
2018-11-02	17:14:42	9.491966312	8.365617529	9.715682859	0.785639966	0.760530164	0.790016542	500	4.579519547	3.327620985	1.376214289	13.06297967	11.51288238	13.37086157
2018-11-02	17:17:09	11.4959266	9.884447286	11.82564804	0.819385186	0.793202214	0.823948795	500	4.579519547	3.327620985	1.376214289	15.82085845	13.60311759	16.2746258
2018-11-03	15:13:17	14.34229646	11.91690612	14.85951323	0.852427092	0.825171553	0.857177702	500	4.579519547	3.327620985	1.376214289	19.73807332	16.40021648	20.44987443
2018-11-03	15:16:01	14.16789567	11.79707642	14.67217171	0.850753343	0.823562455	0.855492647	500	4.579519547	3.327620985	1.376214289	19.49806046	16.23530513	20.19205235
2018-11-04	12:08:02	15.59092904	12.76691411	16.20391554	0.863397338	0.835796688	0.868208082	500	4.579519547	3.327620985	1.376214289	21.45645932	17.57000962	22.3000601
2018-11-04	12:10:10	16.55369877	13.40641401	17.24611058	0.870804604	0.842978554	0.875654596	500	4.579519547	3.327620985	1.376214289	22.78143678	18.45009852	23.7343438
2018-11-04	21:57:54	18.38177584	14.58015841	19.23971127	0.882867708	0.854650415	0.887785912	500	4.579519547	3.327620985	1.376214289	25.29726256	20.06542233	26.47796556
2018-11-04	22:04:50	18.20102555	14.46559123	19.04196873	0.881776121	0.853587947	0.886689269	500	4.579519547	3.327620985	1.376214289	25.04851143	19.90775334	26.20582945
2018-11-05	15:46:03	23.98665855	17.89914349	25.46799042	0.908945868	0.879906979	0.914007235	500	4.579519547	3.327620985	1.376214289	33.01078223	24.63305702	35.04941232
2018-11-06	9:05:05	28.86024404	20.47737086	31.03289994	0.923718499	0.894195576	0.928864272	500	4.579519547	3.327620985	1.376214289	39.71788022	28.18125037	42.70792031
2018-11-06	9:07:08	25.6884198	18.82893486	27.39525248	0.914712723	0.885483616	0.919807265	500	4.579519547	3.327620985	1.376214289	35.35277038	25.91264919	37.7017379
2018-11-06	20:33:04	25.09228101	18.50464095	26.71902692	0.912777504	0.883598293	0.917863388	500	4.579519547	3.327620985	1.376214289	34.53235566	25.46635128	36.77110662
2018-11-06	20:36:40	29.14658287	20.6198563	31.36471788	0.924438838	0.894886844	0.929589698	500	4.579519547	3.327620985	1.376214289	40.11194381	28.37734087	43.1645729
2018-11-07	11:38:55	40.68530788	25.79743103	45.1405697	0.945269058	0.915057358	0.950534882	500	4.579519547	3.327620985	1.376214289	55.99170204	35.50279319	62.12309702
2018-11-07	11:41:15	35.56292921	23.63687753	38.92142833	0.937636534	0.907662642	0.942860929	500	4.579519547	3.327620985	1.376214289	48.94221132	32.52940859	53.5642258
2018-11-08	10:07:13	53.41954369	30.38562653	61.37659765	0.958037645	0.927405311	0.963376828	500	4.579519547	3.327620985	1.376214289	73.51673932	41.8171334	84.46735067
2018-11-08	10:09:31	46.04016741	27.85141631	51.82880978	0.95147756	0.921067431	0.95677797	500	4.579519547	3.327620985	1.376214289	63.36113624	38.32951708	71.32754858
2018-11-08	17:07:56	61.41103184	32.82409861	72.15867378	0.963396982	0.932612198	0.968762673	500	4.579519547	3.327620985	1.376214289	84.51473949	45.17299352	99.3057979
2018-11-08	17:11:01	57.15374509	31.54669088	66.36687186	0.960724717	0.929981287	0.966083348	500	4.579519547	3.327620985	1.376214289	78.65580064	43.41500675	91.33503734
2018-11-09	13:10:03	85.90293875	38.72554604	108.5107842	0.973694194	0.942580368	0.979117236	500	4.579519547	3.327620985	1.376214289	118.2208517	53.29464979	149.3340917
2018-11-11	22:11:07	144.2286763	47.36600659	221.7999701	0.98424782	0.952803194	0.989728498	500	4.579519547	3.327620985	1.376214289	198.4895651	65.18577506	305.2442881
2018-11-12	8:11:44	194.7160834	51.74312439	369.1675796	0.988308174	0.956707968	0.993816055	500	4.579519547	3.327620985	1.376214289	267.9710562	71.20962712	508.0536979
2018-11-13	17:11:46	3852.095399	69.2741239	120249998.8	0.999405695	0.967483338	0.999999981	500	4.579519547	3.327620985	1.376214289	5301.308729	95.33603914	165489766.5
2018-11-14	21:43:02	120174998.8	73.8230564	120174998.8	0.999999981	0.969456068	0.999999981	500	4.579519547	3.327620985	1.376214289	165386550.5	101.596345	165386550.5
2018-11-15	6:35:14	120149998.8	83.48978689	120149998.8	0.999999981	0.972944241	0.999999981	500	4.579519547	3.327620985	1.376214289	165352145.1	114.8998377	165352145.1
2018-11-15	6:35:50	120149998.8	74.19640297	120149998.8	0.999999981	0.969607402	0.999999981	500	4.579519547	3.327620985	1.376214289	165352145.1	102.1101499	165352145.1
2018-11-15	17:07:04	423.4307639	60.42564377	120149998.8	0.994606394	0.962811319	0.999999981	500	4.579519547	3.327620985	1.376214289	582.7314675	83.15863435	165352145.1
