channel,tv,shape,shape_err,x,dx
10046,0.000,0.995322,0.0995322,-132.5,5.0
10047,0.000,1.00067,0.100067,-127.5,5.0
10048,0.000,0.999569,0.0999569,-122.5,5.0
10049,0.000,0.9962,0.09962,-117.5,5.0
10050,0.000,0.999818,0.0999818,-112.5,5.0
10051,0.000,1.00062,0.100062,-107.5,5.0
10052,0.000,0.998593,0.0998593,-102.5,5.0
10053,0.000,0.99836,0.099836,-97.5,5.0
10054,0.000,0.995869,0.0995869,-92.5,5.0
10055,0.000,1.00461,0.100461,-87.5,5.0
10056,0.000,1.00139,0.100139,-82.5,5.0
10057,0.000,1.00306,0.100306,-77.5,5.0
10058,0.000,0.997611,0.0997611,-72.5,5.0
10059,0.000,0.999085,0.0999085,-67.5,5.0
10060,0.000,1.00129,0.100129,-62.5,5.0
10061,0.000,1.00311,0.100311,-57.5,5.0
10062,0.000,0.998411,0.0998411,-52.5,5.0
10063,0.000,0.995709,0.0995709,-47.5,5.0
10064,0.000,0.996603,0.0996603,-42.5,5.0
10065,0.000,0.990363,0.0990363,-37.5,5.0
10066,0.000,0.991436,0.0991436,-32.5,5.0
10067,0.000,0.998013,0.0998013,-27.5,5.0
10068,0.000,0.992456,0.0992456,-22.5,5.0
10069,0.000,0.9942,0.09942,-17.5,5.0
10070,0.000,1.00445,0.100445,-12.5,5.0
10071,0.000,0.995021,0.0995021,-7.5,5.0
10072,0.000,1.0301,0.10301,-2.5,5.0
10073,0.000,1.00478,0.100478,2.5,5.0
10074,0.000,0.991377,0.0991377,7.5,5.0
10075,0.000,0.992094,0.0992094,12.5,5.0
10076,0.000,0.991136,0.0991136,17.5,5.0
10077,0.000,0.994868,0.0994868,22.5,5.0
10078,0.000,0.990705,0.0990705,27.5,5.0
10079,0.000,0.988989,0.0988989,32.5,5.0
10080,0.000,0.994303,0.0994303,37.5,5.0
10081,0.000,0.99317,0.099317,42.5,5.0
10082,0.000,0.99211,0.099211,47.5,5.0
10083,0.000,0.988869,0.0988869,52.5,5.0
10084,0.000,0.99199,0.099199,57.5,5.0
10085,0.000,0.995497,0.0995497,62.5,5.0
10086,0.000,0.991382,0.0991382,67.5,5.0
10087,0.000,0.991185,0.0991185,72.5,5.0
10088,0.000,0.993585,0.0993585,77.5,5.0
10089,0.000,0.996869,0.0996869,82.5,5.0
10090,0.000,0.987122,0.0987122,87.5,5.0
10091,0.000,0.999195,0.0999195,92.5,5.0
10092,0.000,0.995085,0.0995085,97.5,5.0
10093,0.000,0.998886,0.0998886,102.5,5.0
10094,0.000,1.0059,0.10059,107.5,5.0
10095,0.000,0.994337,0.0994337,112.5,5.0
10096,0.000,0.999241,0.0999241,117.5,5.0
10097,0.000,1.00671,0.100671,122.5,5.0
10098,0.000,0.997147,0.0997147,127.5,5.0
10099,0.000,1.00203,0.100203,132.5,5.0
10100,0.000,0.998734,0.0998734,137.5,5.0
10101,0.000,0.997967,0.0997967,142.5,5.0
10102,0.000,1.0022,0.10022,147.5,5.0
10103,0.000,0.997278,0.0997278,152.5,5.0
10104,0.000,1.00228,0.100228,157.5,5.0
10105,0.000,1.00292,0.100292,162.5,5.0
10106,0.000,1.00024,0.100024,167.5,5.0
10107,0.000,0.998295,0.0998295,172.5,5.0
10108,0.000,0.99904,0.099904,177.5,5.0
10109,0.000,0.995323,0.0995323,182.5,5.0
10110,0.000,0.999803,0.0999803,187.5,5.0
10111,0.000,1.0069,0.10069,192.5,5.0
10112,0.000,0.995589,0.0995589,197.5,5.0
10113,0.000,0.997198,0.0997198,202.5,5.0
10114,0.000,1.00329,0.100329,207.5,5.0
10115,0.000,0.997647,0.0997647,212.5,5.0
10116,0.000,1.00277,0.100277,217.5,5.0
10117,0.000,0.997805,0.0997805,222.5,5.0
10118,0.000,1.00592,0.100592,227.5,5.0
10119,0.000,0.998112,0.0998112,232.5,5.0
10120,0.000,1.00149,0.100149,237.5,5.0
10121,0.000,0.998029,0.0998029,242.5,5.0
10122,0.000,0.99984,0.099984,247.5,5.0
10123,0.000,1.0045,0.10045,252.5,5.0
10124,0.000,1.00433,0.100433,257.5,5.0
10125,0.000,0.997788,0.0997788,262.5,5.0
10126,0.000,0.999347,0.0999347,267.5,5.0
10127,0.000,0.999499,0.0999499,272.5,5.0
10128,0.000,1.00139,0.100139,277.5,5.0
10129,0.000,0.999118,0.0999118,282.5,5.0
10130,0.000,0.992276,0.0992276,287.5,5.0
10131,0.000,1.00242,0.100242,292.5,5.0
10132,0.000,1.00073,0.100073,297.5,5.0
10133,0.000,0.995968,0.0995968,302.5,5.0
10134,0.000,1.0043,0.10043,307.5,5.0
10135,0.000,1.00281,0.100281,312.5,5.0
10136,0.000,0.994966,0.0994966,317.5,5.0
10137,0.000,0.998217,0.0998217,322.5,5.0
10138,0.000,0.99949,0.099949,327.5,5.0
10139,0.000,0.999575,0.0999575,332.5,5.0
10140,0.000,1.00367,0.100367,337.5,5.0
10141,0.000,0.997543,0.0997543,342.5,5.0
10142,0.000,1.00431,0.100431,347.5,5.0
10143,0.000,1.0056,0.10056,352.5,5.0
10144,0.000,1.0106,0.10106,357.5,5.0
20001,0.000,1.01418,0.101418,-357.5,5.0
20002,0.000,1.01052,0.101052,-352.5,5.0
20003,0.000,1.01137,0.101137,-347.5,5.0
20004,0.000,1.01159,0.101159,-342.5,5.0
20005,0.000,1.01042,0.101042,-337.5,5.0
20006,0.000,1.01037,0.101037,-332.5,5.0
20007,0.000,1.01104,0.101104,-327.5,5.0
20008,0.000,1.01025,0.101025,-322.5,5.0
20009,0.000,1.01101,0.101101,-317.5,5.0
20010,0.000,1.00917,0.100917,-312.5,5.0
20011,0.000,1.00964,0.100964,-307.5,5.0
20012,0.000,1.00872,0.100872,-302.5,5.0
20013,0.000,1.00953,0.100953,-297.5,5.0
20014,0.000,1.008,0.1008,-292.5,5.0
20015,0.000,1.00757,0.100757,-287.5,5.0
20016,0.000,1.0076,0.10076,-282.5,5.0
20017,0.000,1.00751,0.100751,-277.5,5.0
20018,0.000,1.0075,0.10075,-272.5,5.0
20019,0.000,1.00786,0.100786,-267.5,5.0
20020,0.000,1.00537,0.100537,-262.5,5.0
20021,0.000,1.00515,0.100515,-257.5,5.0
20022,0.000,1.00488,0.100488,-252.5,5.0
20023,0.000,1.00527,0.100527,-247.5,5.0
20024,0.000,1.00473,0.100473,-242.5,5.0
20025,0.000,1.00554,0.100554,-237.5,5.0
20026,0.000,1.00396,0.100396,-232.5,5.0
20027,0.000,1.00632,0.100632,-227.5,5.0
20028,0.000,1.00491,0.100491,-222.5,5.0
20029,0.000,1.0018,0.10018,-217.5,5.0
20030,0.000,1.00154,0.100154,-212.5,5.0
20031,0.000,1.00159,0.100159,-207.5,5.0
20032,0.000,1.0018,0.10018,-202.5,5.0
20033,0.000,1.00196,0.100196,-197.5,5.0
20034,0.000,1.00167,0.100167,-192.5,5.0
20035,0.000,1.0033,0.10033,-187.5,5.0
20036,0.000,1.00021,0.100021,-182.5,5.0
20037,0.000,1.00212,0.100212,-177.5,5.0
20038,0.000,1.00142,0.100142,-172.5,5.0
20039,0.000,1.00194,0.100194,-167.5,5.0
20040,0.000,1.00104,0.100104,-162.5,5.0
20041,0.000,0.9993,0.09993,-157.5,5.0
20042,0.000,0.999199,0.0999199,-152.5,5.0
20043,0.000,1.00057,0.100057,-147.5,5.0
20044,0.000,0.999226,0.0999226,-142.5,5.0
20045,0.000,0.998435,0.0998435,-137.5,5.0
20046,0.000,0.998213,0.0998213,-132.5,5.0
20047,0.000,0.997856,0.0997856,-127.5,5.0
20048,0.000,0.9982,0.09982,-122.5,5.0
20049,0.000,0.998705,0.0998705,-117.5,5.0
20050,0.000,0.996935,0.0996935,-112.5,5.0
20051,0.000,0.998974,0.0998974,-107.5,5.0
20052,0.000,0.99625,0.099625,-102.5,5.0
20053,0.000,0.996623,0.0996623,-97.5,5.0
20054,0.000,0.995181,0.0995181,-92.5,5.0
20055,0.000,0.996003,0.0996003,-87.5,5.0
20056,0.000,0.996522,0.0996522,-82.5,5.0
20057,0.000,0.996293,0.0996293,-77.5,5.0
20058,0.000,0.99615,0.099615,-72.5,5.0
20059,0.000,0.99569,0.099569,-67.5,5.0
20060,0.000,0.993634,0.0993634,-62.5,5.0
20061,0.000,0.994666,0.0994666,-57.5,5.0
20062,0.000,0.993589,0.0993589,-52.5,5.0
20063,0.000,0.993145,0.0993145,-47.5,5.0
20064,0.000,0.992485,0.0992485,-42.5,5.0
20065,0.000,0.991448,0.0991448,-37.5,5.0
20066,0.000,0.991139,0.0991139,-32.5,5.0
20067,0.000,0.990948,0.0990948,-27.5,5.0
20068,0.000,0.990586,0.0990586,-22.5,5.0
20069,0.000,0.991,0.0991,-17.5,5.0
20070,0.000,0.988044,0.0988044,-12.5,5.0
20071,0.000,0.984556,0.0984556,-7.5,5.0
20072,0.000,1.00944,0.100944,-2.5,5.0
20073,0.000,0.999774,0.0999774,2.5,5.0
20074,0.000,0.980025,0.0980025,7.5,5.0
20075,0.000,0.987194,0.0987194,12.5,5.0
20076,0.000,0.990585,0.0990585,17.5,5.0
20077,0.000,0.989043,0.0989043,22.5,5.0
20078,0.000,0.989254,0.0989254,27.5,5.0
20079,0.000,0.990459,0.0990459,32.5,5.0
20080,0.000,0.991796,0.0991796,37.5,5.0
20081,0.000,0.991194,0.0991194,42.5,5.0
20082,0.000,0.991492,0.0991492,47.5,5.0
20083,0.000,0.993349,0.0993349,52.5,5.0
20084,0.000,0.991473,0.0991473,57.5,5.0
20085,0.000,0.991589,0.0991589,62.5,5.0
20086,0.000,0.993949,0.0993949,67.5,5.0
20087,0.000,0.992688,0.0992688,72.5,5.0
20088,0.000,0.992872,0.0992872,77.5,5.0
20089,0.000,0.992908,0.0992908,82.5,5.0
20090,0.000,0.993769,0.0993769,87.5,5.0
20091,0.000,0.993291,0.0993291,92.5,5.0
20092,0.000,0.994747,0.0994747,97.5,5.0
20093,0.000,0.993427,0.0993427,102.5,5.0
20094,0.000,0.996262,0.0996262,107.5,5.0
20095,0.000,0.994012,0.0994012,112.5,5.0
20096,0.000,0.994302,0.0994302,117.5,5.0
20097,0.000,0.994681,0.0994681,122.5,5.0
20098,0.000,0.994239,0.0994239,127.5,5.0
20099,0.000,0.995603,0.0995603,132.5,5.0
20100,0.000,0.996688,0.0996688,137.5,5.0
20101,0.000,0.996264,0.0996264,142.5,5.0
20102,0.000,0.998004,0.0998004,147.5,5.0
20103,0.000,0.99611,0.099611,152.5,5.0
20104,0.000,0.996612,0.0996612,157.5,5.0
20105,0.000,0.997301,0.0997301,162.5,5.0
20106,0.000,0.997956,0.0997956,167.5,5.0
20107,0.000,0.997098,0.0997098,172.5,5.0
20108,0.000,0.997351,0.0997351,177.5,5.0
20109,0.000,0.99864,0.099864,182.5,5.0
20110,0.000,0.999184,0.0999184,187.5,5.0
20111,0.000,0.998693,0.0998693,192.5,5.0
20112,0.000,0.997948,0.0997948,197.5,5.0
20113,0.000,0.99949,0.099949,202.5,5.0
20114,0.000,0.998786,0.0998786,207.5,5.0
20115,0.000,0.998908,0.0998908,212.5,5.0
20116,0.000,0.998263,0.0998263,217.5,5.0
20117,0.000,1.00315,0.100315,222.5,5.0
20118,0.000,1.00256,0.100256,227.5,5.0
20119,0.000,1.00073,0.100073,232.5,5.0
20120,0.000,0.999764,0.0999764,237.5,5.0
20121,0.000,1.00131,0.100131,242.5,5.0
20122,0.000,1.00151,0.100151,247.5,5.0
20123,0.000,1.00064,0.100064,252.5,5.0
20124,0.000,1.00202,0.100202,257.5,5.0
